Ticker,Pred_GRU,Rentabilidad,Dif_GRU,Sector
HD,3.614514589309693,-1.1462544328953843,4.760769022205077,consumer-cyclical
KMI,2.6508870124816895,-2.130043684413063,4.780930696894752,energy
IDXX,-8.025391578674316,-3.161244788196101,4.864146790478215,healthcare
ZBH,-2.6302309036254883,2.414064680473339,5.044295584098828,healthcare
HPQ,15.319326400756836,10.249045574188724,5.070280826568112,technology
VST,-3.0872600078582764,-8.311340088685276,5.224080080826999,utilities
NDSN,4.512510299682617,9.781798107351204,5.269287807668588,industrials
BRK-B,8.858746528625488,3.4823514598369507,5.376395068788538,financial-services
SLB,16.23328399658203,10.852583001532812,5.380700995049219,energy
WSM,-7.754621982574463,-2.291341403079601,5.463280579494862,consumer-cyclical
EIX,7.921998023986816,2.347295277879551,5.574702746107265,utilities
HBAN,3.855871200561523,-1.8365761595370813,5.692447360098605,financial-services
