Ticker,Pred_Average,Rentabilidad,Dif_Average,Sector
BLDR,-6.53305368423462,-11.49626464223624,4.9632109580016195,industrials
TROW,-5.260327529907227,-0.271257958504278,4.989069571402949,financial-services
DLR,-4.780769634246827,0.22587637367593,5.006646007922757,real-estate
ACGL,2.144466575980186,-2.869686061492954,5.01415263747314,financial-services
DOC,2.629180717468262,7.647762495633337,5.018581778165075,real-estate
WDAY,3.3744588851928716,8.570912665216389,5.196453780023517,technology
PNW,-0.1665343046188354,-5.608874178607561,5.442339873988725,utilities
MA,-6.96928071975708,-1.5147820869321853,5.454498632824895,financial-services
CRM,13.922659873962402,8.29602630137822,5.626633572584183,technology
WEC,-3.979964256286621,1.756985030308551,5.736949286595172,utilities
MAR,6.032793998718262,0.2510301381751784,5.781763860543084,consumer-cyclical
V,-3.079622507095337,2.7852551241110612,5.864877631206398,financial-services
